id,numMutations,sampleSize,numFeatures
1385,0,100,27
1386,0,100,29
1387,0,100,30
1388,0,100,29
1389,0,100,26
1390,0,100,30
1391,0,100,32
1392,0,100,27
1393,0,100,30
1394,0,100,27
1395,0,100,28
1396,0,100,30
1397,0,100,27
1398,0,100,28
1399,0,100,30
1400,0,100,30
1401,0,100,28
1402,0,100,29
1403,0,100,30
1404,0,100,27
1405,0,100,29
1406,0,100,30
1407,0,100,31
1408,0,100,30
1409,0,100,30
1410,0,100,31
1411,0,100,26
1412,0,100,30
1413,0,100,30
1414,0,100,30
1415,0,100,29
1416,0,100,26
1417,0,100,29
1418,0,100,28
1419,0,100,25
1420,0,100,27
1421,0,100,28
1422,0,100,28
1423,0,100,31
1424,0,100,29
1425,0,100,31
1426,0,100,28
1427,0,100,25
1428,0,100,29
1429,0,100,30
1430,0,100,29
1431,0,100,26
1432,0,100,24
1433,0,100,29
1434,0,100,26
1435,0,100,31
1436,0,100,29
1437,0,100,27
1438,0,100,28
1439,0,100,28
1440,0,100,28
1441,0,100,27
1442,0,100,26
1443,0,100,30
1444,0,100,29
1445,0,100,30
1446,0,100,29
1447,0,100,26
1448,0,100,31
1449,0,100,28
1450,0,100,30
1451,0,100,30
1452,0,100,30
1453,0,100,31
1454,0,100,26
1455,0,100,29
1456,0,100,27
1457,0,100,29
1458,0,100,28
1459,0,100,28
1460,0,100,30
1461,0,100,27
1462,0,100,30
1463,0,100,30
1464,0,100,31
1465,0,100,29
1466,0,100,29
1467,0,100,30
1468,0,100,30
1469,0,100,30
1470,0,100,30
1471,0,100,31
1472,0,100,30
1473,0,100,30
1474,0,100,28
1475,0,100,26
1476,0,100,29
1477,0,100,29
1478,0,100,29
1479,0,100,25
1480,0,100,29
1481,0,100,26
1482,0,100,30
1483,0,100,27
1484,0,100,30
1485,0,100,28
1486,0,100,31
1487,0,100,27
1488,0,100,28
1489,0,100,30
1490,0,100,28
1491,0,100,28
1492,0,100,31
1493,0,100,28
1494,0,100,27
1495,0,100,30
1496,0,100,30
1497,0,100,31
1498,0,100,28
1499,0,100,28
1500,1,1,4
1501,1,1,10
1502,1,1,4
1503,1,1,9
1504,1,1,8
1505,1,1,9
1506,1,1,9
1507,1,1,9
1508,1,1,8
1509,1,1,8
1510,1,1,5
1511,1,1,8
1512,1,1,8
1513,1,1,4
1514,1,1,12
1515,1,1,16
1516,1,1,9
1517,1,1,8
1518,1,1,12
1519,1,1,9
1520,1,1,4
1521,1,1,9
1522,1,1,12
1523,1,1,9
1524,1,1,8
1525,1,1,8
1526,1,1,11
1527,1,1,8
1528,1,1,4
1529,1,1,16
1530,1,1,4
1531,1,1,9
1532,1,1,6
1533,1,1,9
1534,1,1,12
1535,1,1,15
1536,1,1,6
1537,1,1,7
1538,1,1,6
1539,1,1,4
1540,1,1,12
1541,1,1,17
1542,1,1,17
1543,1,1,5
1544,1,1,9
1545,1,1,10
1546,1,1,9
1547,1,1,9
1548,1,1,4
1549,1,1,4
1550,1,1,8
1551,1,1,7
1552,1,1,8
1553,1,1,4
1554,1,1,10
1555,1,1,12
1556,1,1,11
1557,1,1,12
1558,1,1,9
1559,1,1,10
1560,1,1,8
1561,1,1,10
